XrayTh,spiralTh,sliceTh,p_valIni,nHQ,nLQ,FalloHQ,FalloLQ,Fallopval,Freq,Proportion HQ/LQ,p_val
200,1.3,2.5,0.006980976,1260,1708,0.057961482,0.190927508,0.014088549,0,0.737704918,0.006980976
200,1.4,2.5,0.006980976,1260,1708,0.057961482,0.190927508,0.014088549,0,0.737704918,0.006980976
100,0.6,2.5,0.235327929,266,2702,0.246722313,0.107146728,0.356767095,0,0.098445596,0.235327929
100,1.3,1.5,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
100,1.4,1.5,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
100,1.3,2,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
100,1.4,2,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
100,1.3,2.5,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
100,1.4,2.5,0.008108854,1918,1050,0.077538354,0.243168863,0.033970601,0,1.826666667,0.008108854
500,1,1.25,0.00829079,168,2800,0.004819452,0.13360351,7.15734E-05,0,0.06,7.15734E-05
350,1.2,1,0.009590789,392,2576,0.018655119,0.144292084,0.000798948,0,0.152173913,0.000798948
300,1.3,1.25,0.009737261,630,2338,0.032444178,0.155757107,0.00359051,0,0.269461078,0.00359051
300,1.4,1.25,0.009737261,630,2338,0.032444178,0.155757107,0.00359051,0,0.269461078,0.00359051
300,1.2,1.25,0.009841454,546,2422,0.028356088,0.151933476,0.002466418,0,0.225433526,0.002466418
200,1.2,1.5,0.010429019,1120,1848,0.055500713,0.179046564,0.014936664,0,0.606060606,0.010429019
200,1.2,2,0.010429019,1120,1848,0.055500713,0.179046564,0.014936664,0,0.606060606,0.010429019
200,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
200,1.2,2.5,0.010429019,1120,1848,0.055500713,0.179046564,0.014936664,0,0.606060606,0.010429019
700,1,1.5,0.269759689,84,2884,0.023728478,0.122353103,0.031763607,28,0.029126214,0.031763607
350,1.3,1,0.011325751,476,2492,0.024536755,0.147438263,0.001780001,0,0.191011236,0.001780001
350,1.4,1,0.011325751,476,2492,0.024536755,0.147438263,0.001780001,0,0.191011236,0.001780001
400,1,1.25,0.161059229,224,2744,0.034605882,0.127531271,0.034114312,42,0.081632653,0.034114312
200,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
400,1.3,1,0.015457076,392,2576,0.020986657,0.142099464,0.001379788,0,0.152173913,0.001379788
400,1.4,1,0.015457076,392,2576,0.020986657,0.142099464,0.001379788,0,0.152173913,0.001379788
400,1.5,1,0.015861547,532,2436,0.030012818,0.148286617,0.003691914,0,0.218390805,0.003691914
300,1.5,1.25,0.049489148,854,2114,0.056866653,0.153241421,0.037047319,28,0.40397351,0.037047319
400,1.2,1.5,0.110963338,448,2520,0.046139166,0.134731652,0.043599316,28,0.177777778,0.043599316
300,1.4,1,0.017006039,532,2436,0.030814854,0.148093822,0.004115076,0,0.218390805,0.004115076
100,1.2,1.5,0.017130483,1778,1190,0.076994199,0.215261751,0.04563123,0,1.494117647,0.017130483
100,1.2,2,0.017130483,1778,1190,0.076994199,0.215261751,0.04563123,0,1.494117647,0.017130483
100,1.2,2.5,0.017130483,1778,1190,0.076994199,0.215261751,0.04563123,0,1.494117647,0.017130483
300,0.6,1.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
500,1.3,1.5,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
500,1.4,1.5,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
500,1.3,2,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
500,1.4,2,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
300,0.6,2,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
500,1.3,2.5,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
500,1.4,2.5,0.017141854,448,2520,0.025738066,0.144358547,0.002499589,0,0.177777778,0.002499589
450,1.3,1.5,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
450,1.4,1.5,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
450,1.3,2,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
300,0.6,2.5,0.976748838,28,2940,0.1247329,0.116927965,0.977370358,0,0.00952381,0.976748838
450,1.4,2,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
450,1.3,2.5,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
450,1.4,2.5,0.026786843,532,2436,0.033597757,0.145243827,0.006924443,0,0.218390805,0.006924443
200,1,1.25,0.069883737,742,2226,0.057587209,0.14807257,0.046882434,56,0.333333333,0.046882434
450,1,1.25,0.02885429,196,2772,0.011697791,0.13183601,0.00043602,0,0.070707071,0.00043602
450,1.2,1.5,0.036284072,420,2548,0.028983973,0.139255059,0.00565214,0,0.164835165,0.00565214
450,1.2,2,0.036284072,420,2548,0.028983973,0.139255059,0.00565214,0,0.164835165,0.00565214
450,1.2,2.5,0.036284072,420,2548,0.028983973,0.139255059,0.00565214,0,0.164835165,0.00565214
350,1.5,1.25,0.043231098,770,2198,0.051953165,0.151190255,0.027496983,0,0.350318471,0.027496983
